Item,Tipología,Descripción
44,Cobro servicios o comisiones,Consulta o reclamo sobre cobros aplicados por servicios o comisiones no claros en el estado financiero.
45,Cobro Servicios o Comisiones Portafolio Empresas,Consulta o reclamo sobre cobros aplicados por servicios o comisiones no claros en el estado financiero.
46,Cobro transferencias net PIBE,Duda o reclamo sobre comisiones aplicadas a transferencias realizadas a través de la plataforma Net PIBE.
47,Certificado costos financieros,Solicitud para obtener un certificado detallado de los costos financieros relacionados con productos o servicios bancarios.
48,Comisión cancelación anticipada,Queja o consulta sobre la comisión aplicada por la cancelación anticipada de un crédito o producto financiero.
49,Comisión consignación nacional,Duda o reclamo sobre los cobros aplicados a consignaciones nacionales realizadas en oficinas o canales del banco.
50,Comisión estudio de crédito,Consulta sobre el cobro de la comisión aplicada por el estudio previo para la aprobación de un crédito.
51,Comisión venta de chequeras,Queja sobre el cobro realizado por la venta de chequeras a clientes con cuentas corrientes.
52,Comisiones portafolio,Consulta o reclamo relacionado con las comisiones aplicadas a productos incluidos en el portafolio financiero del cliente.
53,Otras comisiones,Revisión de comisiones aplicadas que no están claramente detalladas en el estado de cuenta.
54,Cuenta bloqueada,"Consulta o reclamo sobre una cuenta bloqueada, posiblemente debido a seguridad o falta de uso."
55,Cuenta cancelada,Duda o inconformidad sobre la cancelación de una cuenta bancaria.
56,Cuenta embargada,"Solicitudes y reclamos de clientes sobre cuentas embargadas, levantamientos no aplicados, bloqueos de productos, correcciones en centrales de riesgo y entrega de información sobre las órdenes judiciales o administrativas que originaron el embargo."
57,Histórico de Movimientos,Solicitud para obtener un registro detallado del histórico de movimientos en la cuenta del cliente.
58,Histórico de Movimientos Premium,Solicitud para obtener un registro detallado del histórico de movimientos en la cuenta del cliente.
59,Histórico de Movimientos VIP,Solicitud para obtener un registro detallado del histórico de movimientos en la cuenta del cliente.
60,Saldos y movimientos no conformes,Reclamo por discrepancias detectadas en los saldos y movimientos reportados en la cuenta del cliente.
61,Verificar y analizar operaciones no visualizadas en la cuenta de adquirencia del comercio,"Análisis y verificación de operaciones que no están reflejadas en la cuenta de adquirencia del comercio, afectando el registro contable."
62,Verificar y analizar operaciones no visualizadas en la cuenta de adquirencia del comercio Premium,"Análisis y verificación de operaciones que no están reflejadas en la cuenta de adquirencia del comercio, afectando el registro contable."
63,Verificar y analizar operaciones no visualizadas en la cuenta de adquirencia del comercio VIP,"Análisis y verificación de operaciones que no están reflejadas en la cuenta de adquirencia del comercio, afectando el registro contable."
64,Solicitud de documentos,"Peticiones y reclamos por documentos o certificaciones de productos financieros (extractos, paz y salvos, contratos, soportes), incluyendo requerimientos judiciales y de entes de control."
65,Solicitud de documentos - Fianza FGA,"Peticiones formales de documentos y certificaciones relacionadas con la Fianza FGA (garantía de arrendamiento), incluyendo paz y salvos, contratos y soportes para trámites legales o contractuales."
66,Solicitud de paz y salvo o Certificación de estado al día,Solicitudes para obtener documentos que certifiquen que el cliente está al día con sus obligaciones financieras.
67,Solicitud de paz y salvo Premium,"Solicitud para generar un certificado de paz y salvo o un estado de cuenta al día, como soporte financiero."
68,Solicitud de Extractos de Adquirencias - Incidencia,"Requerimiento para obtener extractos detallados relacionados con las adquirencias del comercio, incluyendo incidencias o problemas específicos."
69,Solicitud de Extractos de Adquirencias - No tiene descargada la Macro,"Requerimiento para obtener extractos detallados relacionados con las adquirencias del comercio, incluyendo incidencias o problemas específicos."
70,Solicitud de Extractos de Adquirencias - Otros,"Requerimiento para obtener extractos detallados relacionados con las adquirencias del comercio, incluyendo incidencias o problemas específicos."
71,Débito automático no autorizado,"Débitos automáticos no autorizados o injustificados en cuentas, nóminas o pensiones, incluyendo seguros no contratados, cobros de terceros y descuentos excesivos sin respetar mínimo vital, frecuentemente acompañados de solicitudes de reversión."
72,Descuentos injustificados,Reclamos por descuentos aplicados a cuentas o nóminas sin justificación.
73,Libranzas - Ajuste de Pagos,Consultas o solicitudes para ajustar pagos aplicados a libranzas.
74,Pagos por PSE,Reclamos generales relacionados con pagos procesados mediante la plataforma PSE.
75,Pagos por PSE Premium,Incidencias relacionadas con pagos realizados a través de PSE por clientes Premium.
76,Propuestas de negociaciones o acuerdos de pagos,Solicitudes o gestiones para establecer acuerdos o negociar pagos de obligaciones financieras.
77,Quebrantos - Pagos bonos de paz riesgo reputación,Casos donde quebrantos financieros afectan pagos de bonos de paz y generan un impacto reputacional.
78,Valor errado,Reclamos por errores en los valores reflejados en transacciones o documentos financieros.
79,Fraude Internet,Incidencias generales relacionadas con fraudes realizados a través de internet.
80,Fraude por internet no reconocido,Reclamos por transacciones fraudulentas realizadas en plataformas digitales no reconocidas por el cliente.
81,Fraude Tarjeta de Crédito,Casos relacionados con transacciones fraudulentas realizadas con tarjetas de crédito del cliente.
82,Fraude tarjeta débito otras redes tarjeta Débito,Reclamaciones por uso no autorizado de tarjetas débito en redes externas al banco.
83,Ilícitos tarjeta crédito visa reintegros no cubiertos,Incidencias relacionadas con fraudes en tarjetas de crédito Visa que no están cubiertos por la entidad.
84,Infidelidades no cubiertas fraude interno,Reclamos por pérdidas ocasionadas por empleados de la entidad en actividades no cubiertas por seguros internos.
85,Ingeniería social Net Personas,Incidencias relacionadas con fraudes en la plataforma Net Personas utilizando ingeniería social.
86,Ingeniería Social SCAM ATM,Casos de fraude en cajeros automáticos realizados mediante técnicas de ingeniería social.
87,Lavado de activos,Reportes o casos sospechosos relacionados con actividades de lavado de activos identificadas por la entidad.
88,Robos y atracos cajeros automáticos no cubiertos,Reclamos por robos ocurridos en cajeros automáticos que no están cubiertos por seguros de la entidad.
89,Seguridad,Consultas o reclamos generales sobre políticas y medidas de seguridad implementadas por la entidad.
90,Seguridad atracos,Incidencias relacionadas con atracos en instalaciones o durante operaciones bancarias.
91,Seguridad en instalaciones,Reclamos o reportes relacionados con la seguridad física en las instalaciones del banco.
92,Suplantación Cuenta Online,Incidencias de acceso no autorizado a cuentas en línea mediante la suplantación de identidad.
93,Suplantación cuenta web,Casos relacionados con accesos no autorizados a cuentas bancarias a través de plataformas web.
94,Suplantación presunta de persona,Reclamos por posibles casos de suplantación de identidad en procesos bancarios.
95,Suplantación productos digitales,Incidencias de uso no autorizado de productos financieros digitales debido a suplantación de identidad.
96,Suplantación SIM CARD,Reclamaciones relacionadas con la suplantación de la tarjeta SIM del cliente para acceder a productos bancarios.
97,Uso fraudulento,Casos generales de uso indebido o no autorizado de productos financieros del cliente.
98,Uso fraudulento en ventanilla,Reclamos por transacciones no autorizadas realizadas en ventanilla por personas no autorizadas.
99,Vinculación presuntamente fraudulenta,Incidencias donde se sospecha de un proceso fraudulento en la vinculación de un producto o cuenta.
100,Vishing,Reclamos relacionados con fraudes mediante llamadas telefónicas fraudulentas destinadas a obtener información confidencial del cliente.
101,Entrega pagarés,Solicitudes para recibir pagarés relacionados con contratos financieros.
102,Reliquidación intereses oficial ejercicio anterior,Ajustes en el cálculo de intereses generados en productos de clientes oficiales del ejercicio anterior.
103,Solicitud de liquidación de prepago,Solicitudes para calcular la liquidación total en caso de realizar prepagos.
104,Transferencias de divisas Revisión y/o liquidación,"Consultas o reclamos relacionados con transferencias internacionales, su liquidación o revisión."
105,Abono no reconocido a través de Corresponsal Bancario VIP,Reclamos exclusivos de clientes VIP por abonos no reflejados realizados a través de corresponsales bancarios.
106,Aclaración calificación en centrales de riesgo,Solicitudes para revisar o aclarar la calificación crediticia reflejada en centrales de riesgo.
107,Aclaración de valores de primas y soporte de pólizas,Consultas sobre valores de primas de seguros y la documentación de respaldo.
108,Aclaración y envío soportes gastos por pago de impuestos,Solicitudes para obtener aclaraciones y soportes relacionados con pagos de impuestos realizados.
109,Admón. Cuenta Corriente Remunerada,Consultas o reclamos relacionados con la administración de cuentas corrientes con remuneración.
110,Ajuste de pagos Altamira,Incidencias específicas relacionadas con ajustes en pagos procesados en Altamira.
111,Alternativas de normalización,Consultas sobre opciones para regularizar deudas o saldos vencidos.
112,Aplicación de abonos a capital o prepago de Leasing,Consultas o gestiones para aplicar pagos anticipados o abonos al capital de contratos de leasing.
113,Aspectos contractuales (Incumplimiento y/o modificación) - Víctimas,Reclamos de clientes en condición de víctimas sobre incumplimientos o cambios no comunicados en contratos.
114,Autorización para consultas o reportes a Centrales de Riesgo,Solicitudes para otorgar permisos relacionados con consultas en centrales de riesgo.
115,Avalúos,Consultas relacionadas con avalúos de bienes necesarios para procesos financieros.
116,Averías cajero off line,Reportes de fallas en cajeros automáticos que operan sin conexión.
117,Billetes deteriorados,Consultas sobre la aceptación o cambio de billetes en mal estado.
118,Billetes falsos,Incidencias relacionadas con la recepción de billetes falsos en operaciones bancarias.
119,Bloqueo adelanto de nómina,Reclamos o gestiones para el bloqueo de adelantos de nómina no autorizados.
120,Bloqueo de credito,Consultas o solicitudes relacionadas con el bloqueo preventivo de líneas de crédito.
121,Cajero sin billetes,Reportes de cajeros automáticos sin disponibilidad de efectivo.
122,Calificación cartera - Ley Borrón y Cuenta Nueva,Incidencias relacionadas con la recalificación de carteras bajo la normativa de la Ley Borrón y Cuenta Nueva.
123,Calificación de cartera,Consultas sobre la calificación asignada a las carteras crediticias y su impacto.
124,Cambios de fecha de pago,Solicitudes para ajustar o modificar las fechas de pago en productos financieros.
125,Canales,"Quejas, consultas o sugerencias relacionadas con el uso de canales de atención como oficinas, call centers o digitales."
126,Cancelación de garantías,Reclamos o solicitudes para cancelar garantías asociadas a productos financieros.
127,Cancelación del portal net PIBE,Consultas o gestiones relacionadas con la desactivación del portal Net PIBE.
128,Cancelación hipoteca,Solicitudes para cancelar hipotecas tras la liquidación de deudas asociadas.
129,Cancelación titulo,Procesos relacionados con la cancelación de títulos financieros emitidos por la entidad.
130,Cert Tributario Aclaración cifras certificadas,Consultas o solicitudes para aclarar cifras reportadas en certificados tributarios.
131,Cert Tributario Error en valores Reportados,Reclamos relacionados con errores en los valores informados en los certificados tributarios.
132,Certificación del activo en Leasing INMUEBLE-MAQUINARIA Premium,Gestión de solicitudes de clientes Premium para certificar activos de inmuebles o maquinaria bajo leasing.
133,Certificación del activo en Leasing VEHICULO,Solicitudes para certificar activos relacionados con contratos de leasing de vehículos.
134,Cheque de Gerencia,Consultas o incidencias relacionadas con la emisión o liquidación de cheques de gerencia.
135,Cheque no pagado por firmas,Reclamos por cheques rechazados debido a discrepancias en las firmas registradas.
136,Cheques devueltos,Incidencias relacionadas con cheques rechazados por el banco receptor por motivos específicos.
137,Cliente viajero,Consultas o solicitudes especiales para clientes en tránsito o fuera de su lugar de residencia habitual.
138,Compras con tecnología Token NFC,Reclamos o aclaraciones sobre pagos realizados mediante tecnología Token NFC en general.
139,Compras con tecnología Token NFC G5,Incidencias o consultas sobre transacciones realizadas utilizando la tecnología Token NFC en dispositivos G5.
140,Conocimiento,"Consultas relacionadas con la mejora en el conocimiento de productos, servicios o procesos internos de la entidad."
141,Consignación duplicada,"Reclamos por consignaciones procesadas más de una vez, generando inconsistencias en los movimientos de la cuenta."
142,Consignación errónea - Depósito en cheque Cajero Nivel 7,"Incidencias en cajeros de oficina por retiros, avances, depósitos o pagos registrados como exitosos pero con entrega parcial, sin entrega de efectivo o sin acreditación."
143,Consignación errónea - Depósito en efectivo Cajero Nivel 4,Incidencias relacionadas con errores en consignaciones realizadas en efectivo en cajeros automáticos de nivel 4 (gestionados por oficina).
144,Consignación errónea - Depósito en efectivo Cajero Nivel 7,Reclamos por errores en consignaciones realizadas en efectivo a través de cajeros automáticos de nivel 7
145,Consulta de movimientos pago de nómina VIP,Solicitudes de clientes VIP para revisar movimientos asociados al pago de nómina.
146,Contrato nuevo línea redescuentos - Víctimas,Casos relacionados con la creación de nuevos contratos de redescuentos para clientes en condición de víctimas.
147,Copia extracto,Solicitudes para obtener copias de extractos de cuentas o productos financieros.
148,Dación en pago,Gestión de procesos donde un cliente entrega un bien como forma de liquidar una deuda.
149,Débito automático no realizado,Incidencias relacionadas con débitos automáticos programados que no se ejecutaron correctamente.
150,Débito transferencia pero no abono a cuenta,"Reclamos por transferencias realizadas que fueron debitadas de la cuenta de origen, pero no acreditadas en la cuenta destino."
151,Debitó y no entrego cajero internacional,Reclamos por transacciones en cajeros internacionales donde se debitó el monto pero no se entregó efectivo.
152,Demora en la respuesta de una PQRS,Quejas por falta de respuesta o tiempos prolongados en la gestión de PQRS.
153,Demora en la tramitación,Reclamos generales por retrasos en la gestión de solicitudes.
154,Demora en la Tramitación - Ley Borrón y Cuenta Nueva,Quejas por demoras en trámites regulados bajo la Ley Borrón y Cuenta Nueva.
155,Demora entrega de información,Incidencias relacionadas con la falta de entrega o retrasos en el suministro de información requerida.
156,"Demora o no devolución de saldos, aportes o primas","Reclamos por la falta de devolución de saldos, aportes o primas pendientes."
157,Demora o no entrega de la cotización y/o simulación,Quejas por demoras en la entrega de cotizaciones o simulaciones solicitadas por el cliente.
158,Demora o no entrega del contrato o de la póliza,Incidencias relacionadas con retrasos en la entrega de contratos o pólizas solicitadas.
159,Demora o no modificación de datos personales,Quejas por retrasos o falta de actualización de datos personales en sistemas bancarios.
160,Depositario - Depósito en cheque Cajero Nivel 4,Reclamos sobre depósitos en cheque realizados en cajeros automáticos de nivel 4.
161,Depositario - Depósito en efectivo Cajero Nivel 7,Consultas o reclamos específicos relacionados con depósitos en efectivo a través de un depositario.
162,Depósito en efectivo cajero nivel 7,Incidencias relacionadas con depósitos en efectivo realizados en cajeros automáticos de nivel 7.
163,Depósito remesas cheque BBVA,Quejas o solicitudes sobre remesas en forma de cheque no aplicadas correctamente.
164,Descuentos en nómina,Consultas o reclamos sobre descuentos aplicados directamente a los ingresos por nómina.
165,Despignoración y pignoración,Gestión de procesos para retirar o registrar pignoraciones sobre activos o bienes.
166,Devolución IVA,Solicitudes relacionadas con la devolución de IVA en transacciones específicas.
167,Diferencia en cambio,Consultas o reclamos por discrepancias en la conversión de divisas.
168,Diferidos no conformes,"Reclamos relacionados con condiciones, tasas o plazos aplicados a pagos diferidos."
169,Dificultad en el acceso a la información,"Reclamos por problemas para acceder a información relevante de cuentas, productos o transacciones."
170,Doble aplicación del retiro,"Quejas por retiros procesados dos veces, afectando los fondos disponibles del cliente."
171,Donaciones en ATM,Consultas o incidencias relacionadas con donaciones realizadas a través de cajeros automáticos.
172,Duplicidad de la Información,Reclamos por la existencia de registros o datos duplicados en sistemas bancarios.
173,El cliente no recibe extracto,Incidencias donde el cliente no ha recibido extractos bancarios de sus cuentas o productos.
174,Entrega de dineros sin juicio de sucesión,Consultas o gestiones para la entrega de fondos en casos donde no se ha realizado un juicio de sucesión.
175,Entregó dinero pero no quedó abonado a cuenta,Reclamos por depósitos realizados que no fueron reflejados en la cuenta del cliente.
176,Envío soportes gastos por pago comparendos o servicios y derechos premium,Solicitudes de clientes Premium para la gestión y envío de soportes relacionados con pagos específicos.
177,Error o falta de claridad en las cláusulas del contrato o de la póliza,Reclamos por cláusulas contractuales o de pólizas ambiguas o mal explicadas.
178,Error Operativo,Incidencias relacionadas con fallos en procesos internos que afectan al cliente.
179,Errores en la resolución de PQRS,"Reclamos por errores o inconsistencias en la respuesta o resolución de peticiones, quejas y reclamos."
180,Exclusión de barrido por motor de recuperaciones,Solicitudes para excluir cuentas o montos del proceso automatizado de recuperaciones.
181,Falencias en retenciòn,Quejas por errores o incumplimientos en la retención de impuestos o montos requeridos.
182,Forma de abono (abono bruto- abono neto),"Solicitudes generales sobre las formas de abono en cuentas, diferenciando entre bruto y neto."
183,Forma de abono (abono bruto- abono neto) Premium,Consultas específicas de clientes Premium sobre el método de abono en términos brutos o netos.
184,Garantías y levantamiento de gravámenes - Víctimas,Solicitudes de clientes en condición de víctimas para gestionar garantías o levantamientos de gravámenes.
185,Gastos de escrituración,Consultas o reclamaciones relacionadas con los costos involucrados en procesos de escrituración de bienes.
186,Generación copias de contratos o de documentos del Leasing,Solicitudes para obtener copias de contratos o documentos asociados a contratos de leasing.
187,Generación de poderes y autorizaciones MAQUINARIA,Emisión de documentos legales para la autorización de trámites específicos sobre maquinaria.
188,Generación de poderes y autorizaciones maquinaria o inmuebles,Solicitudes de emisión de poderes para gestionar trámites legales vinculados a maquinaria o inmuebles.
189,Generación de poderes y autorizaciones VEHICULO VIP,Gestión exclusiva para clientes VIP relacionada con la emisión de poderes y autorizaciones legales sobre vehículos.
190,Gestión ante las Redes de Exoneración de ReteFuente,Solicitudes generales para tramitar exoneraciones de retención en la fuente a través de redes bancarias.
191,Gestión ante las Redes de Exoneración de ReteFuente Premium,Solicitudes de clientes Premium para gestionar exoneraciones de retención en la fuente.
192,Gestión ante las Redes de Exoneración de ReteFuente VIP,Solicitudes de clientes VIP para gestionar exoneraciones de retención en la fuente a través de redes.
193,GLOMO - BANCA MÓVIL,Incidencias específicas relacionadas con el aplicativo GLOMO o Banca Móvil de la entidad.
194,Históricos de Pagos,Consultas generales de clientes para obtener históricos de pagos realizados en productos financieros.
195,Históricos de Pagos Premium,Solicitudes de clientes Premium para acceder a históricos detallados de pagos realizados.
196,Históricos de Pagos VIP,Solicitudes exclusivas de clientes VIP para obtener históricos detallados de pagos realizados.
197,Hurto celular,Casos específicos de robo de celulares que afectan la seguridad de las aplicaciones bancarias vinculadas.
198,Hurto o Robo,Reclamaciones relacionadas con hurtos o robos que afectan los productos financieros del cliente.
199,Imposibilidad comunicación con el canal,"Quejas por problemas de comunicación con los canales de atención, como call center, oficinas o digitales."
200,Imposibilidad del Retiro completo del saldo,Incidencias donde el cliente no puede retirar la totalidad del saldo disponible en su cuenta.
201,Impuestos o servicios públicos no aplicados,Reclamos relacionados con pagos de impuestos o servicios públicos que no se reflejan en el sistema.
202,Incidencia Banca Móvil,Problemas o fallas reportadas en la utilización de la aplicación de Banca Móvil.
203,Inconvenientes para el otorgamiento de nuevos contratos - Víctimas,Quejas de clientes en condición de víctimas por problemas al solicitar nuevos contratos financieros.
204,Incremento en el valor de los intereses,Reclamos relacionados con incrementos inesperados o no autorizados en tasas de interés aplicadas.
205,Incremento en el valor de los seguros,Quejas por aumentos en el costo de las primas o tarifas de seguros contratados con la entidad.
206,Incremento en el valor de otros gastos,Reclamos por incrementos no informados en gastos relacionados con productos o servicios.
207,Incremento en el valor de otros gastos - Fianza FGA,Quejas por aumentos inesperados en gastos asociados a fianzas gestionadas por el FGA.
208,Incrementos de tarifas no pactadas o informadas,Reclamos por aumentos en tarifas que no fueron previamente pactados o comunicados al cliente.
209,Indisponibilidad Net Cash,Incidencias relacionadas con la falta de acceso o problemas técnicos en la plataforma Net Cash.
210,Información de Abonos de rechazos monetarios no reembolsados VIP,Consultas exclusivas de clientes VIP sobre abonos relacionados con rechazos monetarios que no han sido reembolsados.
211,Insolvencia,Gestión de casos relacionados con la situación de insolvencia financiera del cliente.
212,Ley 2300 de 2023 para gestión de cobranza - Intimidad,"Incidencias relacionadas con el cumplimiento de la Ley 2300, que regula la gestión de cobranza y protege la intimidad del cliente."
213,Ley protección datos personales,"Reclamos relacionados con el manejo, tratamiento o uso indebido de los datos personales del cliente."
214,Libranzas - Comisión estudio de crédito,Quejas sobre el cobro de comisiones por estudios de crédito vinculados a libranzas.
215,Libranzas - Descuentos en nómina,Consultas o reclamos por descuentos aplicados a la nómina del cliente relacionados con libranzas.
216,Libranzas - Saldos y movimientos no conformes,Quejas relacionadas con inconsistencias en saldos y movimientos de libranzas.
217,Libranzas - Sobrantes Descuento por nómina y obligación cancelada,Reclamos por montos sobrantes tras descuentos en nómina de obligaciones ya canceladas.
218,Limitación en la expedición de certificaciones,Incidencias por restricciones o demoras en la expedición de certificaciones solicitadas por el cliente.
219,Límite de crédito,Consultas o reclamos relacionados con el límite de crédito asignado a un cliente o producto.
220,Liquidación no conforme - Oficial,Reclamos por liquidaciones no conformes en cuentas o productos de clientes oficiales.
221,Liquidación no conforme particular,Incidencias relacionadas con liquidaciones que no se ajustan a lo pactado para clientes particulares.
222,Mal servicio prestado fuerza de ventas,Quejas por el servicio o información deficiente ofrecida por el equipo de ventas externo o interno.
223,Mal servicio prestado funcionario,Reclamos por la atención o servicio deficiente brindado por un funcionario de la entidad.
224,Mal servicio prestado proveedor,Quejas relacionadas con el servicio ofrecido por un proveedor externo vinculado con la entidad.
225,Modificación de condiciones en contratos sin previa notificación al cliente,Reclamos por cambios en los términos de un contrato que no fueron comunicados previamente al cliente.
226,Modificación de cupo disponible (recálculo),Consultas o solicitudes de ajuste en el cupo disponible tras un recálculo de condiciones o pagos.
227,Operación no solicitada,Reclamos por operaciones procesadas sin haber sido solicitadas ni autorizadas por el cliente.
228,Operaciones comercio exterior,"Gestión de incidencias relacionadas con operaciones de comercio exterior, como pagos internacionales o cartas de crédito."
229,Operaciones pendientes de cobro,Consultas o reclamos por operaciones que permanecen pendientes de cobro y afectan la disponibilidad de los fondos.
230,Orden de no pago no ejecutada,Reclamos relacionados con órdenes de no pago que no fueron ejecutadas correctamente por la entidad.
231,Otra,Casos puntuales o excepcionales no categorizados previamente.
232,Otros,Incidencias que no se clasifican en ninguna de las categorías específicas existentes.
233,Otros asociados con Cert Trubutario,Consultas o reclamos relacionados con información adicional requerida en certificados tributarios.
234,Pérdida de portafolio,Incidencias relacionadas con la pérdida de productos o servicios que conforman el portafolio del cliente.
235,Precios,Consultas o reclamos relacionados con precios aplicados a productos y servicios ofrecidos por la entidad.
236,Prescripción - Ley Borrón y Cuenta Nueva,Reclamos por la aplicación de la prescripción de obligaciones financieras bajo el amparo de la Ley Borrón y Cuenta Nueva.
237,Prescripción de la Obligación,Consultas o procesos relacionados con la prescripción de obligaciones financieras conforme a la normativa.
238,Procedimiento y Honorarios de Cobranza - Víctimas,Reclamos relacionados con los honorarios de cobranza aplicados a cuentas de clientes en condición de víctimas.
239,Procedimiento y honorarios de cobranza ley borrón y cuenta nueva,Consultas o reclamos sobre los procedimientos y honorarios de cobranza según la Ley Borrón y Cuenta Nueva.
240,Propuesta de negociación o acuerdo - Ley Borrón y Cuenta Nueva,Gestión de propuestas de negociación o acuerdos establecidos dentro de las disposiciones de esta ley.
